Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,ZIP
c0d528b6-cdae-4d98-8936-a270f8827eb7,2013-02-10,,999-83-3170,,,,Claudette391,Hahn503,,,,white,french_canadian,F,Framingham  Massandopolis  US,239 Schaden Glen,Randolph,Massandopolis,02368
d709f84f-7d2c-440b-a979-2bc27d41f63a,1994-01-10,2019-01-07,999-31-7937,S99989196,X43239863X,Ms.,Christina143,Langworth352,,,,black,dominican,F,Lynn  Massandopolis  US,535 Romaguera Annex Unit 82,Boston,Massandopolis,02108
92aa6efc-004f-4e01-b0be-9aafa40d9857,1989-08-27,,999-59-2188,S99973592,X80581589X,Mrs.,Robbyn526,Eichmann909,,Kohler843,M,hispanic,central_american,F,Salem  Massandopolis  US,986 Franecki Road Apt 37,Bellingham,Massandopolis,02019
f9b11b47-e8e8-4c3c-b279-36eba5086cfd,1988-10-09,,999-48-9512,S99947146,X80365010X,Mr.,Earnest658,Bauch723,,,M,white,american,M,Concord  Massandopolis  US,451 Paucek Divide,Plymouth,Massandopolis,02360
c9d19013-4435-4b71-823a-c5023ba56195,1997-12-21,,999-44-8705,S99938855,X28806996X,Mr.,Sung603,Schroeder447,,,,white,polish,M,Reading  Massandopolis  US,123 Klocko Gateway,Natick,Massandopolis,01760
d87fb424-3788-4566-8fc2-24c0d66a888c,1983-03-10,,999-46-3148,S99935018,X38708180X,Mrs.,Geralyn932,Walter473,,Heaney114,M,white,irish,F,Fall River  Massandopolis  US,568 Stoltenberg Extension,Brewster,Massandopolis,02631
9be713c8-cbeb-4da5-a713-9f8db6614b78,2012-10-31,,999-36-3559,,,,Tamica785,Thompson596,,,,white,irish,F,Marshfield  Massandopolis  US,454 Friesen Park Unit 86,Waltham,Massandopolis,02451
96034260-617a-4818-a01b-57b37ddf5327,1950-11-23,2008-09-04,999-41-3292,S99941180,X65375511X,Mrs.,Lili474,Balistreri607,,Dooley940,M,asian,chinese,F,Chongqing  Chongqing Municipality  CN,743 Hyatt Mews,Avon,Massandopolis,02322
b7d7bd83-239f-4849-b785-b3bdb85497a0,1994-01-10,,999-98-3961,S99976675,X43180824X,Ms.,Ingeborg677,Hansen121,,,,black,dominican,F,Quincy  Massandopolis  US,682 Auer Station,Boston,Massandopolis,02108
818c3b60-2704-4f97-ac00-01afc796717a,1950-03-14,,999-54-7747,S99929574,X68146257X,Mrs.,Carleen42,Reichert620,,Upton904,M,white,polish,F,Marblehead  Massandopolis  US,904 White Promenade Unit 90,Tewksbury,Massandopolis,01876
6af2446b-05af-4e36-99a2-74964568a21c,1948-10-28,,999-33-6654,S99946722,X81476441X,Mrs.,Ferne426,Dickinson688,,Von197,M,white,irish,F,Chelmsford  Massandopolis  US,352 Muller Divide Unit 45,Wilmington,Massandopolis,01887
3bf67f1c-b8c6-425e-a4f5-e6f412875044,2016-11-22,,999-17-5023,,,,Christia477,Cartwright189,,,,white,german,F,Russell  Massandopolis  US,958 Runolfsson Terrace Unit 58,Methuen Town,Massandopolis,01841
2987a946-dd3a-4906-a0d3-9e952c81a650,1979-07-14,,999-45-5203,S99960056,X66575019X,Mr.,Bryce11,Kassulke119,,,M,white,irish,M,Brockton  Massandopolis  US,142 Friesen Course Unit 29,Westborough,Massandopolis,01581
5398ca46-cc70-482c-8d85-f968893fb0c9,1976-02-27,,999-94-9009,S99950416,X37154618X,Mr.,Errol226,Reinger292,,,M,white,irish,M,Plymouth  Massandopolis  US,875 Marks Common Apt 48,Foxborough,Massandopolis,02035
9ec75997-92a6-4959-b1ff-53728351362a,1966-07-17,,999-40-5746,S99986613,X51619043X,Mr.,Perry780,MacGyver246,,,M,white,german,M,Andover  Massandopolis  US,942 Wehner Trace Apt 10,Boston,Massandopolis,02108
